Designator,Footprint,Quantity,Value,LCSC Part #
BT1,1812,1,Battery_Cell,
BT2,BAT_2994TR,1,2994TR,
"C1, C10, C4, C6, C9",0402,5,10uF,
"C11, C13, C14",0402,3,100n,
C12,0402,1,220nF,
"C15, C17",0402,2,100nF,
"C16, C22, C23",0402,3,1uF,
"C18, C2, C5, C8",0402,4,0.1uF,
"C19, C20, C7",0402,3,4.7uF,
C21,0402,1,2.2uF,
C3,0402,1,10u,
IC1,SON127P800X600X80-9N-D,1,W25Q256JVEIQ,
IC2,NORAB12000B,1,NORA-B120-00B,
"IC3, IC4",SOTFL50P160X60-8N,2,LM66200DRLR,
"J1, J2",Pogo_Female_4Pin,2,Conn_01x04,
J4,CONN_X05A20L15T_XKB,1,X05A20L15T,
L2,0603,1,MBKK1608T1R5M,
MOSFET1,SOT-23TO-236_318-08_ONS,1,2N7002,
R1,0402,1,100k,NRF52840-QIAA-R
"R10, R12, R15, R16, R9",0402,5,4.7k,NRF52840-QIAA-R
R11,0402,1,1M,
"R13, R4, R6, R7",0402,4,1k,
"R14, R5, R8",0402,3,5k6,
R17,0402,1,5.1k,
R18,0805,1,470,
R2,0402,1,0R,
R3,0402,1,10k,
U1,21-0168E_T822-3_MXM,1,MAX17048G+T10,
U10,IC_RV-3028-C7_32.768KHZ_1PPM-TA-QC,1,RV-3028-C7_32.768KHZ_1PPM-TA-QC,
U11,SOT-23-5,1,MCP73831T-2ACI/OT,MCP73831-2-OT
U12,DRV0006A,1,TPS70950QDRVRQ1,
"U2, U9",DRT0003A,2,TPD2EUSB30DRTR,
U3,MAX30101EFD_T,1,MAX30101EFD_T,
U4,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63031DSK,
U5,XCVR_L96-M33,1,L96-M33,
U6,SOT-23_DIO,1,AP7313-18SAG-7,
U7,XDCR_BMI270,1,BMI270,
U8,PQFN50P200X200X70-12N,1,LIS2MDLTR,
X2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,9HT10-32.768KBZC-T,
