Designator,Mid X,Mid Y,Rotation,Layer
BT1,-32.41,-7.56,0.0,top
C1,-42.5,-6.65,270.0,top
C10,-30.46,0.39,90.0,top
C17,-46.1,12.08,180.0,top
C18,-19.12,-5.51,90.0,top
C19,-35.94,-8.6,270.0,top
C2,-32.81,-5.0475,0.0,top
C4,-33.01,7.91,180.0,top
C5,-33.01,8.94,180.0,top
C6,-29.68,-1.99,270.0,top
C7,-39.12,-11.22,0.0,top
C8,-42.72,-9.03,90.0,top
C9,-35.47,-1.78,90.0,top
D6,-47.500001,-4.275,90.0,top
IC1,-24.48,-4.345,0.0,top
IC2,-21.59,5.39,0.0,top
IC3,-38.24,-4.65,270.0,top
J1,-25.22,-5.58,180.0,bottom
J2,-39.68,-5.63,180.0,bottom
J3,-32.575,18.71,180.0,top
J4,-36.29,-11.39,90.0,top
L2,-33.23,0.74,180.0,top
Q1,-42.57,15.81,0.0,top
R10,-42.63,12.11,180.0,top
R11,-46.68,13.38,0.0,top
R12,-33.66,22.52,90.0,top
R13,-18.67,15.56,0.0,top
R14,-22.65,13.17,270.0,top
R15,-35.76,22.51,90.0,top
R16,-29.67,-3.9,270.0,top
R17,-42.12,-1.33,180.0,top
R18,-47.5,-2.305,270.0,top
R19,-16.21,12.65,270.0,top
R2,-30.52,22.53,0.0,top
R20,-26.0,-8.24,0.0,top
R21,-21.06,-8.21,180.0,top
R3,-45.8,16.46,90.0,top
R4,-36.81,22.51,90.0,top
R5,-37.1,-1.79,270.0,top
R6,-34.71,22.51,90.0,top
R7,-38.12,-1.79,270.0,top
R8,-40.13,-1.79,270.0,top
R9,-34.92,9.15,90.0,top
U1,-17.599999,-2.8333,90.0,top
U11,-45.14,-3.4225,90.0,top
U2,-23.42,19.24,90.0,top
U3,-32.48,5.39,0.0,bottom
U4,-32.79,-2.5575,270.0,top
U5,-43.12,5.395,90.0,top
U6,-39.1815,-8.52,180.0,top
U9,-18.38,13.05,0.0,top
X2,-25.79,12.87,180.0,top
