Designator,Footprint,Quantity,Value,LCSC Part #
BT1,1812,1,Battery_Cell,
C1,0402,1,1uF,
"C10, C4, C6, C9",0402,4,10uF,
"C11, C18, C5, C7",0402,4,0.1uF,
"C17, C19, C8",0402,3,4.7uF,
D6,0402,1,LED_GREEN,
IC1,SON127P800X600X80-9N-D,1,W25N01GVZEIG,
IC2,NORAB12000B,1,NORA-B120-00B,
IC3,SOTFL50P160X60-8N,1,LM66200DRLR,
J1,power_pad_4mm,1,Charging_Pad-,
J2,power_pad_4mm,1,Charging_Pad+,
J3,FPC-SMD_P0.50-15P_LSXJ-H2.0-15P,1,DS1020-09-15VBT1A,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
L1,0805,1,MLZ2012M1R0HT000,
Q1,SOT-23-3,1,2N7002,
R1,0402,1,100,
"R10, R5, R7, R8",0402,4,220,
R11,0603,1,1M,
"R12, R15, R16, R19, R20, R21, R4, R6, R9",0402,9,4.7k,NRF52840-QIAA-R
"R13, R14",0603,2,4.7k,NRF52840-QIAA-R
R17,0402,1,5.1k,
R18,0402,1,470,
R2,0603,1,100,
R3,0603,1,10k,
U1,21-0168E_T822-3_MXM,1,MAX17048G+T10,
U11,SOT-23-5,1,MCP73831T-2ACI/OT,MCP73831-2-OT
U2,IC_RV-3028-C7_32.768KHZ_1PPM-TA-QC,1,RV-3028-C7_32.768KHZ_1PPM-TA-QC,
U3,Maxim_OLGA-14_3.3x5.6mm_P0.8mm,1,MAX30102,
U4,DRC0010J,1,TPS63001DRCR,
U5,QFN_M8C-0_UBL,1,CAM-M8C-0,
U6,SOT-23_DIO,1,AP7313-18SAG-7,
U9,LGA-12_2x2mm_P0.5mm,1,LIS2DE12,LIS2DE12
X2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,9HT10-32.768KBZC-T,
