Designator,Mid X,Mid Y,Rotation,Layer
ANT1,176.125,-91.635,270.0,top
BT1,173.01,-97.07,180.0,top
C1,168.81,-90.12,0.0,top
C10,147.26,-101.5,0.0,top
C11,162.27,-88.83,90.0,top
C12,160.72,-103.93,0.0,top
C13,158.38,-89.87,90.0,top
C14,149.83,-99.55,0.0,top
C15,149.83,-101.52,0.0,top
C16,172.22,-90.0,0.0,top
C17,163.34,-92.01,0.0,top
C18,172.22,-91.04,0.0,top
C19,165.77,-87.24,0.0,top
C2,168.81,-92.09,0.0,top
C20,163.79,-86.19,90.0,top
C21,162.32,-95.62,90.0,top
C3,158.38,-92.05,90.0,top
C4,166.96,-106.83,0.0,top
C5,166.96,-108.8,0.0,top
C6,157.85,-101.96,0.0,top
C7,157.85,-103.93,0.0,top
C8,157.85,-105.9,0.0,top
C9,147.26,-99.53,0.0,top
D1,144.7175,-99.05,0.0,top
IC1,166.84,-94.55,0.0,top
J3,159.05,-77.3,0.0,top
J5,162.74,-109.67,270.0,top
L1,165.665,-89.405,0.0,top
Q1,167.27,-79.47,0.0,top
R1,171.71,-87.19,0.0,top
R11,166.01,-76.05,90.0,top
R12,144.4825,-101.04,0.0,top
R13,169.52,-87.2,0.0,top
R2,151.87,-77.58,90.0,top
R3,171.2,-80.48,0.0,top
R4,151.43,-105.5,0.0,top
R6,151.43,-107.49,0.0,top
R9,151.43,-109.48,0.0,top
U10,168.35,-83.7,0.0,top
U11,165.99,-100.63,0.0,top
U2,153.47,-101.52,0.0,top
U3,157.66,-96.17,0.0,top
U4,147.49,-83.29,0.0,top
U5,147.499999,-92.575,90.0,top
U6,166.72,-84.22,0.0,top
U7,147.3525,-104.53,0.0,top
U8,157.32,-84.38,0.0,top
U9,172.53,-83.84,0.0,top
X1,175.87,-87.47,0.0,top
X2,160.24,-90.95,270.0,top
